STATION,STATION_NAME,DATE,HPCP
COOP:303851,HIGHMARKET NY US,20130705 15:00,10.16
COOP:303851,HIGHMARKET NY US,20130705 17:00,2.54
COOP:303851,HIGHMARKET NY US,20130707 13:00,5.08
COOP:303851,HIGHMARKET NY US,20130710 09:00,15.24
COOP:303851,HIGHMARKET NY US,20130710 10:00,2.54
COOP:303851,HIGHMARKET NY US,20130710 22:00,5.08
COOP:303851,HIGHMARKET NY US,20130720 02:00,2.54
COOP:303851,HIGHMARKET NY US,20130720 12:00,15.24
COOP:303851,HIGHMARKET NY US,20130721 22:00,2.54
COOP:303851,HIGHMARKET NY US,20130723 23:00,12.70
COOP:303851,HIGHMARKET NY US,20130727 19:00,2.54
COOP:303851,HIGHMARKET NY US,20130727 20:00,2.54
COOP:303851,HIGHMARKET NY US,20130727 21:00,5.08
COOP:303851,HIGHMARKET NY US,20130727 22:00,5.08
COOP:303851,HIGHMARKET NY US,20130727 23:00,2.54
COOP:303851,HIGHMARKET NY US,20130728 00:00,2.54
COOP:303851,HIGHMARKET NY US,20130728 12:00,2.54
COOP:303851,HIGHMARKET NY US,20130728 13:00,20.32
COOP:303851,HIGHMARKET NY US,20130728 15:00,2.54
COOP:303851,HIGHMARKET NY US,20130728 23:00,12.70
COOP:303851,HIGHMARKET NY US,20130730 02:00,2.54
COOP:303851,HIGHMARKET NY US,20130801 01:00,0.00
COOP:303851,HIGHMARKET NY US,20130801 10:00,2.54
COOP:303851,HIGHMARKET NY US,20130801 11:00,7.62
COOP:303851,HIGHMARKET NY US,20130801 15:00,2.54
COOP:303851,HIGHMARKET NY US,20130801 17:00,5.08
COOP:303851,HIGHMARKET NY US,20130802 02:00,2.54
COOP:303851,HIGHMARKET NY US,20130803 02:00,2.54
COOP:303851,HIGHMARKET NY US,20130811 08:00,2.54
COOP:303851,HIGHMARKET NY US,20130813 21:00,2.54
COOP:303851,HIGHMARKET NY US,20130814 08:00,5.08
COOP:303851,HIGHMARKET NY US,20130822 17:00,5.08
COOP:303851,HIGHMARKET NY US,20130826 05:00,2.54
COOP:303851,HIGHMARKET NY US,20130826 18:00,2.54
COOP:303851,HIGHMARKET NY US,20130826 21:00,2.54
COOP:303851,HIGHMARKET NY US,20130826 23:00,2.54
COOP:303851,HIGHMARKET NY US,20130830 23:00,2.54
COOP:303851,HIGHMARKET NY US,20130831 02:00,2.54
COOP:303851,HIGHMARKET NY US,20130831 13:00,2.54
COOP:303851,HIGHMARKET NY US,20130901 01:00,0.00
COOP:303851,HIGHMARKET NY US,20130902 00:00,7.62
COOP:303851,HIGHMARKET NY US,20130902 01:00,2.54
COOP:303851,HIGHMARKET NY US,20130902 02:00,2.54
COOP:303851,HIGHMARKET NY US,20130902 17:00,5.08
COOP:303851,HIGHMARKET NY US,20130903 06:00,2.54
COOP:303851,HIGHMARKET NY US,20130903 09:00,2.54
COOP:303851,HIGHMARKET NY US,20130903 20:00,2.54
COOP:303851,HIGHMARKET NY US,20130904 21:00,5.08
COOP:303851,HIGHMARKET NY US,20130904 22:00,2.54
COOP:303851,HIGHMARKET NY US,20130907 19:00,2.54
COOP:303851,HIGHMARKET NY US,20130910 06:00,2.54
COOP:303851,HIGHMARKET NY US,20130910 07:00,7.62
COOP:303851,HIGHMARKET NY US,20130911 19:00,10.16
COOP:303851,HIGHMARKET NY US,20130912 14:00,2.54
COOP:303851,HIGHMARKET NY US,20130916 00:00,2.54
COOP:303851,HIGHMARKET NY US,20130916 01:00,2.54
COOP:303851,HIGHMARKET NY US,20130916 07:00,2.54
COOP:303851,HIGHMARKET NY US,20130921 15:00,2.54
COOP:303851,HIGHMARKET NY US,20130921 16:00,5.08
COOP:303851,HIGHMARKET NY US,20130921 17:00,7.62
COOP:303851,HIGHMARKET NY US,20130921 18:00,2.54
COOP:303851,HIGHMARKET NY US,20130921 19:00,5.08
COOP:303851,HIGHMARKET NY US,20130921 20:00,2.54
COOP:303851,HIGHMARKET NY US,20130921 21:00,2.54
COOP:303851,HIGHMARKET NY US,20130922 00:00,2.54
COOP:303851,HIGHMARKET NY US,20130922 06:00,2.54
COOP:303851,HIGHMARKET NY US,20130927 01:00,25399.75
COOP:303851,HIGHMARKET NY US,20131001 00:00,25399.75
COOP:303851,HIGHMARKET NY US,20131001 01:00,0.00
COOP:303851,HIGHMARKET NY US,20131004 04:00,2.54
COOP:303851,HIGHMARKET NY US,20131004 07:00,2.54
COOP:303851,HIGHMARKET NY US,20131005 08:00,2.54
COOP:303851,HIGHMARKET NY US,20131006 11:00,2.54
COOP:303851,HIGHMARKET NY US,20131006 12:00,7.62
COOP:303851,HIGHMARKET NY US,20131006 13:00,2.54
COOP:303851,HIGHMARKET NY US,20131007 12:00,15.24
